reaction,name,pct_st658,pct_others,pct_diff,p,ec,kegg
rxn12448_c0,transport of na+ [extraorganism-cytosol](secondary antiport),75.0,0.0,75.0,3.908540160250147e-05,,
rxn09422_c0,"fatty acyl-ACP synthase (n-C8:0ACP), mitochondrial, lumped reaction",75.0,0.0,75.0,3.908540160250147e-05,,
rxn25963_c0,N-acetylneuraminate-9-phosphatase,75.0,0.0,75.0,3.908540160250147e-05,3.1.3.29,
rxn07949_c0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),75.0,0.0,75.0,3.908540160250147e-05,,
rxn01395_c0,oxalyl-CoA carboxy-lyase (formyl-CoA-forming),75.0,1.22,73.78,0.0001549288810508,4.1.1.8,R01908
rxn01317_c0,N-Acetylneuraminate 9-phosphate phosphohydrolase,75.0,2.44,72.56,0.0003837903892293,3.1.3.29,R01805
rxn08841_c0,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",75.0,6.1,68.9,0.0020898917146012,,
rxn04793_c0,trans-Hex-2-enoyl-CoA reductase,100.0,23.17,76.83,0.0041698943516885,1.3.1.8,R06985
rxn00174_c0,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),75.0,8.54,66.46,0.0043935758668835,4.1.1.9,R00233
rxn00078_c0,ATP:NADH 2'-phosphotransferase,100.0,25.61,74.39,0.0059569919309836,2.7.1.86;2.7.1.96,R00105
rxn00023_c0,thiosulfate:ferricytochrome-c oxidoreductase,75.0,10.98,64.02,0.0078994892997826,1.8.2.2,
rxn07267_c0,R07390,75.0,10.98,64.02,0.0078994892997826,,
rxn06081_c0,CDP-diacylglycerol:phosphatidylglycerol 3-phosphatidyltransferase,75.0,10.98,64.02,0.0078994892997826,,
rxn00623_c0,hydrogen-sulfide:NADP+ oxidoreductase,75.0,10.98,64.02,0.0078994892997826,1.8.2.2,R00858
rxn00656_c0,L-Alanine:3-oxopropanoate aminotransferase,100.0,28.05,71.95,0.0082644433508903,2.6.1.18,R00907
